map,agents,completion,collisions,steps,variant
25_10_5_10_5_2,55,0.9818181818181818,0,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9818181818181818,0,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9090909090909091,9,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,1,780,all fixes (baseline)
25_10_5_10_5_2,55,1.0,0,106,all fixes (baseline)
25_10_5_10_5_2,55,0.9272727272727272,3,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9272727272727272,3,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9272727272727272,2,780,all fixes (baseline)
25_10_5_10_5_2,55,1.0,0,504,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,1,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,0,780,all fixes (baseline)
25_10_5_10_5_2,55,0.8545454545454545,6,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9454545454545454,3,780,all fixes (baseline)
25_10_5_10_5_2,55,1.0,0,212,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,9,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9818181818181818,1,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,0,238,all fixes (baseline)
25_10_5_10_5_2,55,0.8909090909090909,0,780,all fixes (baseline)
25_10_5_10_5_2,55,1.0,1,123,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,0,780,all fixes (baseline)
25_10_5_10_5_2,55,1.0,1,207,all fixes (baseline)
25_10_5_10_5_2,55,0.9272727272727272,0,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9818181818181818,1,239,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,1,780,all fixes (baseline)
25_10_5_10_5_2,55,1.0,0,143,all fixes (baseline)
25_10_5_10_5_2,55,0.8363636363636363,4,780,all fixes (baseline)
25_10_5_10_5_2,55,0.8909090909090909,1,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,0,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,3,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9636363636363636,1,780,all fixes (baseline)
25_10_5_10_5_2,55,0.9454545454545454,0,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8909090909090909,4,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9090909090909091,5,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9818181818181818,2,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9272727272727272,7,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9090909090909091,3,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8,4,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8181818181818182,11,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9090909090909091,1,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8363636363636363,9,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8727272727272727,4,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8,4,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.7636363636363637,8,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8909090909090909,5,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8181818181818182,4,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8181818181818182,5,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8545454545454545,5,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9090909090909091,0,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9090909090909091,1,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9454545454545454,0,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9636363636363636,3,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8181818181818182,8,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.7454545454545455,9,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8909090909090909,3,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8909090909090909,2,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8181818181818182,6,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9090909090909091,6,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8909090909090909,3,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8909090909090909,7,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.8909090909090909,3,780,RANDOM policy (no network)
25_10_5_10_5_2,55,0.9636363636363636,0,780,GREEDY gradient (no network)
25_10_5_10_5_2,55,0.9636363636363636,1,780,GREEDY gradient (no network)
