agentId,startNodeId,goalNodeId
1,31856,104339
2,57771,81449
3,24252,12745
4,12150,135
5,35207,104686
6,24811,92955
7,94290,81660
8,69739,13018
9,69528,61571
10,71001,102031
11,24214,105221
12,12281,80861
13,34719,69719
14,35911,80877
15,58939,92962
16,57921,70594
17,35589,348
18,10680,48118
19,93482,47673
20,12845,58811
21,47429,35096
22,12187,80878
23,97935,35450
24,24788,47056
25,93032,35497
26,81623,34970
27,70784,1615
28,1851,69546
29,69647,82675
30,36561,92618
31,48097,81828
32,15184,70376
33,92828,94187
34,81335,105247
35,48102,23304
36,72723,81286
37,46373,48087
38,48058,226
39,36539,69794
40,11685,104587
41,81824,10914
42,47639,841
43,104125,775
44,47600,16478
45,35912,28029
46,59468,90901
47,57817,5139
48,59248,94092
49,58523,36225
50,23318,12744
51,24575,23903
52,44269,93691
53,104169,851
54,47531,92409
55,23451,24954
56,34657,36131
57,59024,24986
58,69294,23412
59,59288,47918
60,91974,55375
