episode,map,scen,agents,reward,completed,completion_rate,collisions,recovery_invocations,recovery_forced,recovery_resolved,recovery_wasted,recovery_preemptive,recovery_preemptive_success,errors_injected,handovers_completed,retired_recalled,action_override_rate,gradient_agreement,mean_hops_remaining,loss_goal,loss_safety,loss_integrity,loss_rescue,loss_time
1,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,55,-13089.001291573048,55,1.0,0,39,0,0,376,39,34,1,1,1,0.1330390920554855,0.3275986308773194,0.0,0.24931862407424343,0.000758010856687042,1.834721025549918,0.0019520937531856532,0.0054657612069042676
2,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,55,-24214.100630164146,55,1.0,0,5,0,0,449,5,5,2,2,2,0.12291116974494283,0.34813837584286134,0.0,0.14401328270150118,0.00019746431886144436,1.6358400360390246,0.0022129558290330392,0.0006641089477753773
3,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed4.csv,25,-7771.82146525383,25,1.0,0,1,0,0,364,1,1,2,2,1,0.11711340206185566,0.35711340206185566,0.0,0.12362339487219993,0.00020089027730043913,1.578705084689431,0.0036248038668635217,0.0004712130386125315
4,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,55,-10606.52505326271,54,0.9818181818181818,0,40,0,0,462,40,33,3,3,2,0.12951062778052397,0.3517877739331027,4.304996490478516,0.16539447508179225,0.0002761214084820005,1.761515427323488,0.0038780311828083003,0.0004233289590047207
5,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,-10033.20008468628,25,1.0,0,0,0,0,310,0,0,1,1,1,0.10474884279101664,0.36430653180181727,0.0,0.1586861304938793,0.00022311548230783386,1.7019827589100482,0.004372703090793234,0.003299278695668167
6,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,25,-14975.499898731709,25,1.0,0,0,0,0,439,0,0,0,0,0,0.13197099538562954,0.35346077785102176,0.0,0.13913390104904835,0.00017464844299465662,1.670738343896632,0.003784478927862708,0.002959078528189596
7,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed8.csv,25,-15273.232890367508,23,0.92,0,6,0,0,485,6,5,2,2,1,0.1009751882483644,0.3811875077150969,15.25,0.1509927285214265,0.0002643246679513257,1.6808776183770253,0.003922397957157168,0.002546119698728524
8,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed0.csv,55,-10373.269938856363,55,1.0,0,7,0,0,183,7,6,0,0,0,0.08788988508650082,0.37365829018815505,0.0,0.1431862563417669,0.00020512762820257385,1.6475705077773646,0.004386849500860591,0.007096625220494165
9,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed0.csv,55,-7907.900120943785,54,0.9818181818181818,0,9,0,0,190,9,7,2,1,1,0.08424637251998815,0.3697068403908795,0.0,0.16563334010810737,0.00022342100678693588,1.691118193678109,0.005046300917186215,0.005982512362080967
10,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,25,-15516.129872225225,22,0.88,0,24,0,0,445,24,21,3,3,2,0.08912024986985945,0.38261322228006245,19.166666666666668,0.15601347487133282,0.00019648960852312788,1.6833651959896088,0.0040094194347730285,0.0050263680249209314
