episode,map,scen,agents,reward,completed,completion_rate,collisions,recovery_invocations,recovery_forced,recovery_resolved,recovery_wasted,recovery_preemptive,recovery_preemptive_success,risk_steps,risk_steps_acted,warning_steps,intervention_rate,errors_injected,handovers_completed,retired_recalled,action_override_rate,gradient_agreement,mean_hops_remaining,loss_goal,loss_safety,loss_integrity,loss_rescue,loss_time
1,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,55,7953.555682376027,54,0.9818181818181818,0,1,0,0,2,1,1,1,1,1,1.0,1,0,0,0.01013986013986014,0.8402578796561605,0.0,0.6245371696547927,0.0053490676893199855,0.39051691411393824,3.152824127994336e-05,0.0001483369487347016
2,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed7.csv,55,9579.699895739555,54,0.9818181818181818,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0.0017531556802244039,0.9442496493688639,0.0,0.5321415947736615,0.0027460646596788193,0.2274761040606638,0.0007948285679909062,9.269218853195571e-05
3,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed4.csv,25,4116.899999007583,25,1.0,0,0,0,0,1,0,0,0,0,0,0.0,1,1,0,0.009029345372460496,0.8532731376975169,0.0,0.5196742666111956,0.0018889957738681237,0.18158197599305143,0.004384293744567129,0.00011480474128904383
4,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed8.csv,55,4694.323497474194,50,0.9090909090909091,5,0,5,5,7,0,0,0,0,0,0.0,1,1,1,0.11389102072141212,0.6939647803043255,10.46655731201172,0.5810622776165987,0.053581080608105715,0.14765587790558735,0.006127198314133681,0.001773082515016237
5,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed1.csv,25,4383.399958014488,25,1.0,0,0,0,0,4,0,0,0,0,0,0.0,2,2,2,0.0,0.9413489736070382,0.0,0.5463322535244345,0.036300101037830254,0.11493960373670037,0.005485078725892859,0.041248344234531276
6,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,25,5025.699924468994,25,1.0,0,0,0,0,2,0,0,0,0,0,0.0,0,0,0,0.0,0.9431567328918322,0.0,0.5417341597137912,0.046965800792085864,0.13101318325366704,0.007666486359987117,0.042288412272858796
7,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed8.csv,25,3946.003054186702,22,0.88,1,0,1,1,17,0,0,0,0,0,0.0,2,0,1,0.03899902502437439,0.6044848878778031,7.0,0.5601371721579478,0.036566828476936326,0.12372965226666285,0.007745817873004422,0.03969540883755634
8,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed0.csv,55,7158.970781445503,53,0.9636363636363636,0,1,0,0,27,1,0,1,1,1,1.0,1,0,0,0.031746031746031744,0.8473167044595616,9.331501007080078,0.5811412282097034,0.02757694171943093,0.12434104233980178,0.006735910309484948,0.046037532008724666
9,25_10_5_10_5_2,25_10_5_10_5_2_StartGoalLocations_Seed0.csv,55,5293.995039761066,53,0.9636363636363636,3,2,3,3,26,2,1,2,2,2,1.0,1,0,1,0.3311320754716981,0.8858490566037736,6.75,0.6005878432438924,0.03426956127244548,0.13378011973527,0.005257151221972505,0.04750605821124433
10,50_20_5_10_5_2,50_20_5_10_5_2_StartGoalLocations_Seed5.csv,25,5422.499951839447,25,1.0,0,0,0,0,2,0,0,0,0,0,0.0,0,0,0,0.0018264840182648401,0.9041095890410958,0.0,0.6216488157587098,0.028980435731095603,0.13647450302989025,0.005690354243988443,0.04798480093231416
