Tick,AgentId,X,Y,Z,DistanceTravelled
0,1,42.0,6.0,24.0,0.0
0,2,7.0,0.0,49.0,0.0
0,3,9.0,0.0,45.0,0.0
0,4,20.0,12.0,0.0,0.0
0,5,53.0,0.0,39.0,0.0
0,6,10.0,6.0,48.0,0.0
0,7,52.0,12.0,1.0,0.0
0,8,4.0,6.0,18.0,0.0
0,9,11.0,6.0,18.0,0.0
0,10,59.0,20.0,18.0,0.0
0,11,46.0,24.0,15.0,0.0
0,12,6.0,12.0,32.0,0.0
0,13,10.0,0.0,52.0,0.0
0,14,47.0,12.0,18.0,0.0
0,15,51.0,18.0,28.0,0.0
0,16,47.0,24.0,23.0,0.0
0,17,14.0,6.0,30.0,0.0
0,18,49.0,24.0,31.0,0.0
0,19,10.0,6.0,40.0,0.0
0,20,13.0,24.0,36.0,0.0
0,21,27.0,18.0,48.0,0.0
0,22,49.0,0.0,5.0,0.0
0,23,49.0,6.0,1.0,0.0
0,24,7.0,6.0,16.0,0.0
0,25,48.0,24.0,8.0,0.0
1,1,42.5,6.0,24.0,0.5
1,2,7.0,0.0,48.5,0.5
1,3,9.0,0.0,44.5,0.5
1,4,19.5,12.0,0.0,0.5
1,5,53.0,0.0,38.5,0.5
1,6,10.5,6.0,48.0,0.5
1,7,52.0,12.0,0.5,0.5
1,8,3.5,6.0,18.0,0.5
1,9,11.5,6.0,18.0,0.5
1,10,59.0,19.5,18.0,0.5
1,11,46.0,24.0,14.5,0.5
1,12,6.0,12.0,31.5,0.5
1,13,10.0,0.0,52.5,0.5
1,14,47.5,12.0,18.0,0.5
1,15,51.0,18.0,28.5,0.5
1,16,47.0,24.0,22.5,0.5
1,17,14.0,6.0,29.5,0.5
1,18,49.0,24.0,30.5,0.5
1,19,10.0,6.0,40.5,0.5
1,20,13.5,24.0,36.0,0.5
1,21,27.5,18.0,48.0,0.5
1,22,49.0,0.0,5.5,0.5
1,23,49.0,6.0,0.5,0.5
1,24,7.0,6.0,15.5,0.5
1,25,48.0,24.0,7.5,0.5
2,1,43.0,6.0,24.0,1.0
2,2,7.0,0.0,48.0,1.0
2,3,9.0,0.0,44.0,1.0
2,4,19.0,12.0,0.0,1.0
2,5,53.0,0.0,38.0,1.0
2,6,11.0,6.0,48.0,1.0
2,7,52.0,12.0,0.0,1.0
2,8,3.0,6.0,18.0,1.0
2,9,12.0,6.0,18.0,1.0
2,10,59.0,19.0,18.0,1.0
2,11,46.0,24.0,14.0,1.0
2,12,6.0,12.0,31.0,1.0
2,13,10.0,0.0,53.0,1.0
2,14,48.0,12.0,18.0,1.0
2,15,51.0,18.0,29.0,1.0
2,16,47.0,24.0,22.0,1.0
2,17,14.0,6.0,29.0,1.0
2,18,49.0,24.0,30.0,1.0
2,19,10.0,6.0,41.0,1.0
2,20,14.0,24.0,36.0,1.0
2,21,28.0,18.0,48.0,1.0
2,22,49.0,0.0,6.0,1.0
2,23,49.0,6.0,0.0,1.0
2,24,7.0,6.0,15.0,1.0
2,25,48.0,24.0,7.0,1.0
3,1,43.5,6.0,24.0,1.5
3,2,7.0,0.0,47.5,1.5
3,3,9.0,0.0,43.5,1.5
3,4,18.5,12.0,0.0,1.5
3,5,53.0,0.0,37.5,1.5
3,6,11.5,6.0,48.0,1.5
3,7,52.5,12.0,0.0,1.5
3,8,2.5,6.0,18.0,1.5
3,9,12.5,6.0,18.0,1.5
3,10,59.0,18.5,18.0,1.5
3,11,46.0,24.0,13.5,1.5
3,12,6.0,12.0,30.5,1.5
3,13,10.0,0.0,53.5,1.5
3,14,48.5,12.0,18.0,1.5
3,15,51.0,18.0,29.5,1.5
3,16,47.0,24.0,21.5,1.5
3,17,14.0,6.0,28.5,1.5
3,18,48.5,24.0,30.0,1.5
3,19,10.0,6.0,41.5,1.5
3,20,14.5,24.0,36.0,1.5
3,21,28.5,18.0,48.0,1.5
3,22,49.5,0.0,6.0,1.5
3,23,48.5,6.0,0.0,1.5
3,24,7.0,6.0,14.5,1.5
3,25,48.0,24.0,6.5,1.5
4,1,44.0,6.0,24.0,2.0
4,2,7.0,0.0,47.0,2.0
4,3,9.0,0.0,43.0,2.0
4,4,18.0,12.0,0.0,2.0
4,5,53.0,0.0,37.0,2.0
4,6,12.0,6.0,48.0,2.0
4,7,53.0,12.0,0.0,2.0
4,8,2.0,6.0,18.0,2.0
4,9,13.0,6.0,18.0,2.0
4,10,59.0,18.0,18.0,2.0
4,11,46.0,24.0,13.0,2.0
4,12,6.0,12.0,30.0,2.0
4,13,10.0,0.0,54.0,2.0
4,14,49.0,12.0,18.0,2.0
4,15,51.0,18.0,30.0,2.0
4,16,47.0,24.0,21.0,2.0
4,17,14.0,6.0,28.0,2.0
4,18,48.0,24.0,30.0,2.0
4,19,10.0,6.0,42.0,2.0
4,20,15.0,24.0,36.0,2.0
4,21,29.0,18.0,48.0,2.0
4,22,50.0,0.0,6.0,2.0
4,23,48.0,6.0,0.0,2.0
4,24,7.0,6.0,14.0,2.0
4,25,48.0,24.0,6.0,2.0
5,1,44.5,6.0,24.0,2.5
5,2,7.0,0.0,47.0,2.0
5,3,9.0,0.0,43.0,2.0
5,4,17.5,12.0,0.0,2.5
5,5,53.0,0.0,36.5,2.5
5,6,12.5,6.0,48.0,2.5
5,7,53.5,12.0,0.0,2.5
5,8,2.0,6.5,18.0,2.5
5,9,13.5,6.0,18.0,2.5
5,10,58.5,18.0,18.0,2.5
5,11,46.0,24.0,12.5,2.5
5,12,6.0,12.0,30.0,2.0
5,13,10.5,0.0,54.0,2.5
5,14,49.5,12.0,18.0,2.5
5,15,50.5,18.0,30.0,2.5
5,16,47.0,24.0,21.0,2.0
5,17,14.0,6.0,28.0,2.0
5,18,47.5,24.0,30.0,2.5
5,19,10.5,6.0,42.0,2.5
5,20,15.5,24.0,36.0,2.5
5,21,29.5,18.0,48.0,2.5
5,22,50.5,0.0,6.0,2.5
5,23,47.5,6.0,0.0,2.5
5,24,7.0,6.0,14.0,2.0
5,25,48.5,24.0,6.0,2.5
6,1,45.0,6.0,24.0,3.0
6,2,7.0,0.0,47.0,2.0
6,3,9.0,0.0,43.0,2.0
6,4,17.0,12.0,0.0,3.0
6,5,53.0,0.0,36.0,3.0
6,6,13.0,6.0,48.0,3.0
6,7,54.0,12.0,0.0,3.0
6,8,2.0,7.0,18.0,3.0
6,9,14.0,6.0,18.0,3.0
6,10,58.0,18.0,18.0,3.0
6,11,46.0,24.0,12.0,3.0
6,12,6.0,12.0,30.0,2.0
6,13,11.0,0.0,54.0,3.0
6,14,50.0,12.0,18.0,3.0
6,15,50.0,18.0,30.0,3.0
6,16,47.0,24.0,21.0,2.0
6,17,14.0,6.0,28.0,2.0
6,18,47.0,24.0,30.0,3.0
6,19,11.0,6.0,42.0,3.0
6,20,16.0,24.0,36.0,3.0
6,21,30.0,18.0,48.0,3.0
6,22,51.0,0.0,6.0,3.0
6,23,47.0,6.0,0.0,3.0
6,24,7.0,6.0,14.0,2.0
6,25,49.0,24.0,6.0,3.0
7,1,45.5,6.0,24.0,3.5
7,2,7.0,0.0,47.0,2.0
7,3,9.0,0.0,43.0,2.0
7,4,16.5,12.0,0.0,3.5
7,5,53.5,0.0,36.0,3.5
7,6,13.5,6.0,48.0,3.5
7,7,54.0,11.5,0.0,3.5
7,8,2.0,7.0,18.0,3.0
7,9,14.5,6.0,18.0,3.5
7,10,57.5,18.0,18.0,3.5
7,11,46.5,24.0,12.0,3.5
7,12,6.0,12.0,30.0,2.0
7,13,11.5,0.0,54.0,3.5
7,14,50.5,12.0,18.0,3.5
7,15,49.5,18.0,30.0,3.5
7,16,47.0,24.0,21.0,2.0
7,17,14.0,6.0,28.0,2.0
7,18,46.5,24.0,30.0,3.5
7,19,11.5,6.0,42.0,3.5
7,20,16.5,24.0,36.0,3.5
7,21,30.5,18.0,48.0,3.5
7,22,51.5,0.0,6.0,3.5
7,23,46.5,6.0,0.0,3.5
7,24,7.0,6.0,14.0,2.0
7,25,49.5,24.0,6.0,3.5
8,1,46.0,6.0,24.0,4.0
8,2,7.0,0.0,47.0,2.0
8,3,9.0,0.0,43.0,2.0
8,4,16.0,12.0,0.0,4.0
8,5,54.0,0.0,36.0,4.0
8,6,14.0,6.0,48.0,4.0
8,7,54.0,11.0,0.0,4.0
8,8,2.0,7.0,18.0,3.0
8,9,15.0,6.0,18.0,4.0
8,10,57.0,18.0,18.0,4.0
8,11,47.0,24.0,12.0,4.0
8,12,6.0,12.0,30.0,2.0
8,13,12.0,0.0,54.0,4.0
8,14,51.0,12.0,18.0,4.0
8,15,49.0,18.0,30.0,4.0
8,16,47.0,24.0,21.0,2.0
8,17,14.0,6.0,28.0,2.0
8,18,46.0,24.0,30.0,4.0
8,19,12.0,6.0,42.0,4.0
8,20,17.0,24.0,36.0,4.0
